2024-05-06 12:14:49.451 [info] Log level: Info
2024-05-06 12:14:49.451 [info] Validating found git in: "git"
2024-05-06 12:14:49.550 [info] Using git "2.34.1" from "git"
2024-05-06 12:14:49.632 [info] > git rev-parse --show-toplevel [45ms]
2024-05-06 12:14:49.664 [info] > git rev-parse --show-toplevel [27ms]
2024-05-06 12:14:49.680 [info] > git rev-parse --show-toplevel [11ms]
2024-05-06 12:14:49.686 [info] > git rev-parse --show-toplevel [1ms]
2024-05-06 12:14:49.699 [info] > git rev-parse --show-toplevel [1ms]
2024-05-06 12:14:49.713 [info] > git rev-parse --show-toplevel [3ms]
2024-05-06 12:14:49.728 [info] > git rev-parse --show-toplevel [0ms]
2024-05-06 12:19:07.180 [info] > git rev-parse --show-toplevel [163ms]
2024-05-06 12:19:43.278 [info] > git rev-parse --show-toplevel [3ms]
2024-05-06 12:19:46.115 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 12:19:46.609 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 12:20:30.180 [info] > git rev-parse --show-toplevel [1ms]
2024-05-06 12:26:45.103 [info] > git rev-parse --show-toplevel [3ms]
2024-05-06 12:27:29.210 [info] > git rev-parse --show-toplevel [6ms]
2024-05-06 12:27:30.316 [info] > git rev-parse --show-toplevel [14ms]
2024-05-06 12:27:33.608 [info] > git rev-parse --show-toplevel [3ms]
2024-05-06 12:28:39.076 [info] > git rev-parse --show-toplevel [3ms]
2024-05-06 12:33:08.537 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 12:33:13.202 [info] > git rev-parse --show-toplevel [1ms]
2024-05-06 12:33:15.584 [info] > git rev-parse --show-toplevel [5ms]
2024-05-06 12:33:16.618 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 12:36:11.376 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 12:36:16.337 [info] > git rev-parse --show-toplevel [1ms]
2024-05-06 12:37:10.688 [info] > git rev-parse --show-toplevel [3ms]
2024-05-06 12:37:44.128 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 12:37:46.366 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 12:37:48.377 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 12:37:50.008 [info] > git rev-parse --show-toplevel [7ms]
2024-05-06 12:37:55.853 [info] > git rev-parse --show-toplevel [1ms]
2024-05-06 12:37:59.005 [info] > git rev-parse --show-toplevel [3ms]
2024-05-06 12:44:51.952 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 12:55:03.677 [info] > git rev-parse --show-toplevel [16ms]
2024-05-06 13:02:14.609 [info] > git rev-parse --show-toplevel [2ms]
2024-05-06 13:03:13.821 [info] > git rev-parse --show-toplevel [1ms]
2024-05-06 13:03:19.912 [info] > git rev-parse --show-toplevel [5ms]
